title,date,views,comment_count,time,comment
Food King Singapore: The Best Chicken Rice in Singapore! (Finally allowed us to feature them!),"Oct 25, 2019","179,438 views",414 Comments,5 hours ago,I wish we knew about the chicken rice stall back when we were there in May 😭
Food King Singapore: The Best Chicken Rice in Singapore! (Finally allowed us to feature them!),"Oct 25, 2019","179,438 views",414 Comments,12 hours ago (edited),14:28 This is what us girls came for! :) 🥰 for he is Food King Good! :) ❤️⭐️⭐️⭐️
Food King Singapore: The Best Chicken Rice in Singapore! (Finally allowed us to feature them!),"Oct 25, 2019","179,438 views",414 Comments,1 day ago,"but hor, the katong chicken not cheap. But but but......... i never eat roasted chicken but this stall changed my mind. They are legit good!"
Food King Singapore: The Best Chicken Rice in Singapore! (Finally allowed us to feature them!),"Oct 25, 2019","179,438 views",414 Comments,1 day ago,did aiken get fitter ? lmao
Food King Singapore: The Best Chicken Rice in Singapore! (Finally allowed us to feature them!),"Oct 25, 2019","179,438 views",414 Comments,1 day ago,My fav part is where the old man mentioned next number 33 XD
Food King Singapore: The Best Chicken Rice in Singapore! (Finally allowed us to feature them!),"Oct 25, 2019","179,438 views",414 Comments,1 day ago,Really love dee kosh. He is so funny😂
Food King Singapore: The Best Chicken Rice in Singapore! (Finally allowed us to feature them!),"Oct 25, 2019","179,438 views",414 Comments,18 hours ago,OMG the chicken rice is legendary!
Food King Singapore: The Best Chicken Rice in Singapore! (Finally allowed us to feature them!),"Oct 25, 2019","179,438 views",414 Comments,7 hours ago,"Uncle:33!
Dee Kosh: WHERE ARe YOU 33
Customer:HERe
He really replied-"
Food King Singapore: The Best Chicken Rice in Singapore! (Finally allowed us to feature them!),"Oct 25, 2019","179,438 views",414 Comments,1 day ago,Should also have sandwich Saigon in Katong
Food King Singapore: The Best Chicken Rice in Singapore! (Finally allowed us to feature them!),"Oct 25, 2019","179,438 views",414 Comments,1 day ago,EAST SIDE.. BEST SIDE!!
Food King Singapore: The Best Chicken Rice in Singapore! (Finally allowed us to feature them!),"Oct 25, 2019","179,438 views",414 Comments,1 day ago,"Roses are red
Violets are blue
I love food and..





 YOU SHOULD TOO"
Food King Singapore: The Best Chicken Rice in Singapore! (Finally allowed us to feature them!),"Oct 25, 2019","179,438 views",414 Comments,1 day ago,"I stay in Jurong and goes to Katong to work... hahaha... yes, that's the BEST Chicken Rice I've ever eaten."
Food King Singapore: The Best Chicken Rice in Singapore! (Finally allowed us to feature them!),"Oct 25, 2019","179,438 views",414 Comments,1 day ago,I am so glad that that was actually your  no.1 chicken rice!!! Back when you did the chicken rice episode I was sad that my favourite chicken rice was not chosen by the 4 of you
Food King Singapore: The Best Chicken Rice in Singapore! (Finally allowed us to feature them!),"Oct 25, 2019","179,438 views",414 Comments,1 day ago,i freaking love bei ing wanton mee hahahaha it is sooo good !! There is free flow pork lard at the back too so yummy !!
Food King Singapore: The Best Chicken Rice in Singapore! (Finally allowed us to feature them!),"Oct 25, 2019","179,438 views",414 Comments,1 day ago,Yess finally a new video of food king 😱
Food King Singapore: The Best Chicken Rice in Singapore! (Finally allowed us to feature them!),"Oct 25, 2019","179,438 views",414 Comments,1 day ago,Number 33~~! And Aiken's face.. 😂
Food King Singapore: The Best Chicken Rice in Singapore! (Finally allowed us to feature them!),"Oct 25, 2019","179,438 views",414 Comments,1 day ago,Aiken be wearing the TagHauer watch during food king shoots..;))
Food King Singapore: The Best Chicken Rice in Singapore! (Finally allowed us to feature them!),"Oct 25, 2019","179,438 views",414 Comments,1 day ago,The queue is already long for e chk rice.. Now going to be even longer 😭😭 but I agree it the best even the soup ey put in so much effort. Got peanut or cabbage soup.. Where to find in sg n free azhar somemore
